X,BC07,BC08,BC09,BC10,GENENAME
Or8d2b,0,0,0,0,olfactory receptor family 8 subfamily D member 2D
Or8d23,0,0,0,0,olfactory receptor family 8 subfamily D member 23
Or8d1b,0,0,0,0,olfactory receptor family 8 subfamily D member 1B
Or10d1c,0,0,0,0,olfactory receptor family 10 subfamily D member 1C
Or8g21,0,0,0,0,olfactory receptor family 8 subfamily G member 21
Or8g17,0,0,0,0,olfactory receptor family 8 subfamily G member 17
Or8g23,0,0,0,0,olfactory receptor family 8 subfamily G member 23
Or8g24,0,0,0,0,olfactory receptor family 8 subfamily G member 24
Or8g19,0,0,0,0,olfactory receptor family 8 subfamily G member 19
Or8g26,0,0,0,0,olfactory receptor family 8 subfamily G member 26
Or8g27,0,0,0,0,olfactory receptor family 8 subfamily G member 27
Or8g18,0,0,0,0,olfactory receptor family 8 subfamily G member 18
Or8g28,0,0,0,0,olfactory receptor family 8 subfamily G member 28
Or8g30,0,0,0,0,olfactory receptor family 8 subfamily G member 30
Or8g32,0,0,0,0,olfactory receptor family 8 subfamily G member 32
Or8g33,0,0,0,0,olfactory receptor family 8 subfamily G member 33
Or8g34,0,0,0,0,olfactory receptor family 8 subfamily G member 34
Or8g35,0,0,0,0,olfactory receptor family 8 subfamily G member 35
Or8g20,0,0,0,0,olfactory receptor family 8 subfamily G member 20
Or8g36,0,0,0,4,olfactory receptor family 8 subfamily G member 36
Or10d3,0,0,0,0,olfactory receptor family 10 subfamily D member 3
Or10d1,0,0,0,0,olfactory receptor family 10 subfamily D member 1
AW551984,0,83,1,319,expressed sequence AW551984
Or10n1,0,0,0,0,olfactory receptor family 10 subfamily N member 1
Or10d4b,0,0,0,0,olfactory receptor family 10 subfamily D member 4B
Or10d4c,0,0,0,0,olfactory receptor family 10 subfamily D member 4C
Or10d4,0,0,0,0,olfactory receptor family 10 subfamily D member 4
Or10d1b,0,0,0,0,olfactory receptor family 10 subfamily D member 1B
Or8g52,0,0,0,0,olfactory receptor family 8 subfamily G member 52
Or8g50,0,0,0,0,olfactory receptor family 8 subfamily G member 50
Or8g4,0,0,0,0,olfactory receptor family 8 subfamily G member 4
Or8g53,0,0,0,0,olfactory receptor family 8 subfamily G member 53
Or8g54,0,0,0,0,olfactory receptor family 8 subfamily G member 54
Or8g37,0,0,0,0,olfactory receptor family 8 subfamily G member 37
Or8g2b,2,0,0,0,olfactory receptor family 8 subfamily G member 2B
Or8g55,0,0,0,0,olfactory receptor family 8 subfamily G member 55
Or8g2,0,0,0,0,olfactory receptor family 8 subfamily G member 2
Or8d6,0,0,0,0,olfactory receptor family 8 subfamily D member 6
Or10d5,0,0,0,0,olfactory receptor family 10 subfamily D member 5
Or10d5j,0,0,0,0,olfactory receptor family 10 subfamily D member 5J
Or10g7,0,0,0,0,olfactory receptor family 10 subfamily G member 7
Or10g9,0,0,0,0,olfactory receptor family 10 subfamily G member 9
Or10g9b,0,0,0,0,olfactory receptor family 10 subfamily G member 9B
Or10g6,0,0,0,0,olfactory receptor family 10 subfamily G member 6
Or10s1,0,0,0,0,olfactory receptor family 10 subfamily S member 1
Or8b57,0,0,0,0,olfactory receptor family 8 subfamily B member 57
Or4d5,0,0,0,0,olfactory receptor family 4 subfamily D member 5
Or8d4,0,0,0,0,olfactory receptor family 8 subfamily D member 4
Tmem225,0,0,0,0,transmembrane protein 225
Or6x1,0,0,0,0,olfactory receptor family 6 subfamily X member 1
Zfp202,115,90,118,111,zinc finger protein 202
Scn3b,0,1,0,0,"sodium channel, voltage-gated, type III, beta"
Gramd1b,131,120,128,369,GRAM domain containing 1B
Clmp,1977,2689,197,1108,CXADR-like membrane protein
Hspa8,52953,52881,66173,63200,heat shock protein 8
Bsx,0,0,0,0,brain specific homeobox
Jhy,1,1,0,0,junctional cadherin complex regulator
Crtam,5,0,1,4,cytotoxic and regulatory T cell molecule
Ubash3b,95,6,46,40,"ubiquitin associated and SH3 domain containing, B"
Sorl1,329,37,16,80,"sortilin-related receptor, LDLR class A repeats-containing"
Sc5d,1201,732,857,2020,sterol-C5-desaturase
Tecta,2,0,1,7,tectorin alpha
Tbcel,841,687,871,807,tubulin folding cofactor E-like
Grik4,1,3,1,5,"glutamate receptor, ionotropic, kainate 4"
Arhgef12,2384,3585,3187,3905,Rho guanine nucleotide exchange factor 12
Tlcd5,25,101,58,11,TLC domain containing 5
Pou2f3,1,1,3,1,"POU domain, class 2, transcription factor 3"
Oaf,2280,811,374,1027,out at first homolog
Trim29,8,2,0,3,tripartite motif-containing 29
Nectin1,64,169,91,474,nectin cell adhesion molecule 1
Thy1,385,109,33,2349,"thymus cell antigen 1, theta"
Usp2,140,16,75,60,ubiquitin specific peptidase 2
Mfrp,0,0,0,0,membrane frizzled-related protein
C1qtnf5,0,0,0,0,C1q and tumor necrosis factor related protein 5
Rnf26,2017,1521,1620,2018,ring finger protein 26
Mcam,226,555,277,225,melanoma cell adhesion molecule
Cbl,1490,780,1619,1261,Casitas B-lineage lymphoma
Ccdc153,1,0,0,0,coiled-coil domain containing 153
Nherf4,7,0,0,0,NHERF family PDZ scaffold protein 4
Nlrx1,21,58,52,52,NLR family member X1
Abcg4,1,2,0,2,ATP binding cassette subfamily G member 4
Hinfp,646,538,455,571,histone H4 transcription factor
C2cd2l,444,307,512,465,C2 calcium-dependent domain containing 2-like
Dpagt1,655,952,452,719,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
H2ax,0,0,0,0,H2A.X variant histone
Hmbs,1234,1200,1126,1565,hydroxymethylbilane synthase
Vps11,1139,1169,1338,1484,"VPS11, CORVET/HOPS core subunit"
Hyou1,6269,4235,6995,6124,hypoxia up-regulated 1
Slc37a4,309,300,227,232,"solute carrier family 37 (glucose-6-phosphate transporter), member 4"
Trappc4,727,704,785,849,trafficking protein particle complex 4
Rps25,11153,11081,12334,12134,ribosomal protein S25
Cenatac,181,80,142,99,centrosomal AT-AC splicing factor
Foxr1,0,0,0,0,forkhead box R1
Upk2,0,0,0,0,uroplakin 2
Bcl9l,4042,4081,1847,3603,B cell CLL/lymphoma 9-like
Cxcr5,0,1,0,0,C-X-C motif chemokine receptor 5
Ddx6,5637,7466,5345,6471,DEAD-box helicase 6
Treh,0,0,2,0,trehalase (brush-border membrane glycoprotein)
Phldb1,2373,2939,1726,2825,"pleckstrin homology like domain, family B, member 1"
Arcn1,5490,5360,5831,6114,archain 1
Ift46,739,1260,859,953,intraflagellar transport 46
Tmem25,12,4,6,7,transmembrane protein 25
Ttc36,0,0,0,3,tetratricopeptide repeat domain 36
Kmt2a,2487,2893,2216,3142,lysine (K)-specific methyltransferase 2A
Atp5mg,1540,1232,1239,1509,ATP synthase membrane subunit g
Ube4a,1135,1402,1334,1159,ubiquitination factor E4A
Cd3g,2,0,0,0,"CD3 antigen, gamma polypeptide"
Cd3d,0,0,0,0,"CD3 antigen, delta polypeptide"
Cd3e,2,1,0,0,"CD3 antigen, epsilon polypeptide"
Mpzl2,33,0,10,4,myelin protein zero-like 2
Mpzl3,98,49,99,34,myelin protein zero-like 3
Jaml,0,0,0,0,junction adhesion molecule like
Scn2b,4,0,0,0,"sodium channel, voltage-gated, type II, beta"
Scn4b,4,0,0,0,"sodium channel, type IV, beta"
Tmprss4,0,0,0,0,"transmembrane protease, serine 4"
Smim35,2,0,0,0,small integral membrane protein 35
Il10ra,0,0,0,2,"interleukin 10 receptor, alpha"
Tmprss13,0,0,0,0,"transmembrane protease, serine 13"
Fxyd6,48,5,0,3,FXYD domain-containing ion transport regulator 6
Fxyd2,11,0,1,0,FXYD domain-containing ion transport regulator 2
Dscaml1,0,0,0,0,DS cell adhesion molecule like 1
Cep164,843,1005,992,933,centrosomal protein 164
Bace1,365,284,137,235,beta-site APP cleaving enzyme 1
Rnf214,770,825,625,698,ring finger protein 214
Pcsk7,561,739,678,602,proprotein convertase subtilisin/kexin type 7
Tagln,3,6,4,7,transgelin
Sidt2,2124,2434,2984,2696,"SID1 transmembrane family, member 2"
Pafah1b2,3795,3618,4862,5229,"platelet-activating factor acetylhydrolase, isoform 1b, subunit 2"
Sik3,1842,1837,1233,2285,SIK family kinase 3
Apoa1,0,0,0,0,apolipoprotein A-I
Apoc3,0,0,0,0,apolipoprotein C-III
Apoa4,5,0,0,0,apolipoprotein A-IV
Apoa5,3,0,0,0,apolipoprotein A-V
Zpr1,1378,1270,2070,1820,ZPR1 zinc finger
Bud13,346,420,509,513,BUD13 homolog
4931429L15Rik,2,0,0,0,RIKEN cDNA 4931429L15 gene
Cadm1,33,270,37,34,cell adhesion molecule 1
Nxpe4,79,164,75,54,"neurexophilin and PC-esterase domain family, member 4"
Nxpe2,0,0,0,1,"neurexophilin and PC-esterase domain family, member 2"
Rexo2,2123,1755,1726,2816,RNA exonuclease 2
Rbm7,1341,1372,1507,1837,RNA binding motif protein 7
Gm5617,52,77,24,44,predicted gene 5617
Nnmt,101,377,56,172,nicotinamide N-methyltransferase
Zbtb16,13,19,2,0,zinc finger and BTB domain containing 16
Gm32280,0,0,0,0,"predicted gene, 32280"
Htr3a,1257,0,1,0,5-hydroxytryptamine (serotonin) receptor 3A
Htr3b,0,0,0,0,5-hydroxytryptamine (serotonin) receptor 3B
Usp28,476,561,395,522,ubiquitin specific peptidase 28
Cldn25,0,0,0,0,claudin 25
Zw10,720,792,1657,1910,zw10 kinetochore protein
Tmprss5,2,9,6,2,"transmembrane protease, serine 5 (spinesin)"
Drd2,2,0,0,0,dopamine receptor D2
Ankk1,1,0,0,0,ankyrin repeat and kinase domain containing 1
Ttc12,77,51,36,155,tetratricopeptide repeat domain 12
Ncam1,1690,730,982,548,neural cell adhesion molecule 1
Plet1,1,4,4,0,placenta expressed transcript 1
Pts,223,286,140,166,6-pyruvoyl-tetrahydropterin synthase
Bco2,5,15,0,3,beta-carotene oxygenase 2
Il18,61,162,1,19,interleukin 18
Tex12,0,2,0,0,testis expressed 12
Sdhd,2785,2267,2450,2680,"succinate dehydrogenase complex, subunit D, integral membrane protein"
Timm8b,463,568,601,559,translocase of inner mitochondrial membrane 8B
Nkapd1,682,750,585,674,NKAP domain containing 1
Pih1d2,27,37,47,64,PIH1 domain containing 2
Dlat,2035,2107,2579,4836,dihydrolipoamide S-acetyltransferase
Dixdc1,581,602,337,361,DIX domain containing 1
2310030G06Rik,22,14,11,3,RIKEN cDNA 2310030G06 gene
Cryab,975,1441,4850,178,"crystallin, alpha B"
Hspb2,15,16,8,7,heat shock protein 2
Cfap68,101,123,60,108,cilia and flagella associated protein 68
Fdxacb1,146,133,125,156,ferredoxin-fold anticodon binding domain containing 1
Alg9,527,714,516,717,"ALG9 alpha-1,2-mannosyltransferase"
Ppp2r1b,1282,1947,2081,2358,"protein phosphatase 2, regulatory subunit A, beta"
Sik2,342,888,563,695,salt inducible kinase 2
Layn,13,95,176,542,layilin
Hoatz,0,2,0,2,HOATZ cilia and flagella associated protein
Btg4,1,0,0,1,BTG anti-proliferation factor 4
Gm32742,0,0,0,0,"predicted gene, 32742"
Pou2af1,0,0,0,0,"POU domain, class 2, associating factor 1"
Pou2af3,3,6,8,11,POU class 2 homeobox associating factor 3
Pou2af2,1,0,0,0,"POU domain, class 2, associating factor 2"
Arhgap20,42,204,24,25,Rho GTPase activating protein 20
Fdx1,300,233,309,302,ferredoxin 1
Rdx,4464,5005,7145,6978,radixin
Zc3h12c,246,218,337,515,zinc finger CCCH type containing 12C
AI593442,1,1,2,0,expressed sequence AI593442
Ddx10,1250,1011,1738,1871,DEAD box helicase 10
Exph5,34,0,2,4,exophilin 5
Poglut3,553,705,614,1040,protein O-glucosyltransferase 3
4930550C14Rik,22,2,17,27,RIKEN cDNA 4930550C14 gene
Atm,2064,1782,2699,2276,ataxia telangiectasia mutated
Npat,1120,1087,1423,1477,nuclear protein in the AT region
Acat1,2337,3135,2135,2399,acetyl-Coenzyme A acetyltransferase 1
Cul5,1486,1416,1977,2103,cullin 5
Rab39,0,3,0,0,"RAB39, member RAS oncogene family"
Slc35f2,213,231,123,205,"solute carrier family 35, member F2"
Sln,0,0,0,0,sarcolipin
Elmod1,0,1,12,2,ELMO/CED-12 domain containing 1
Tnfaip8l3,0,22,179,16,"tumor necrosis factor, alpha-induced protein 8-like 3"
Cyp19a1,0,0,0,1,"cytochrome P450, family 19, subfamily a, polypeptide 1"
Gldn,4,6,0,10,gliomedin
Dmxl2,238,287,354,294,Dmx-like 2
Sh2d7,0,0,0,0,SH2 domain containing 7
Cib2,5,132,24,22,calcium and integrin binding family member 2
Idh3a,3148,2449,4148,4750,isocitrate dehydrogenase 3 (NAD+) alpha
Acsbg1,33,39,99,195,acyl-CoA synthetase bubblegum family member 1
Dnaja4,250,122,50,241,DnaJ heat shock protein family (Hsp40) member A4
Skic8,1027,959,1205,1093,SKI8 subunit of superkiller complex
Crabp1,10,393,15,168,cellular retinoic acid binding protein I
Ireb2,2514,2640,2352,2927,iron responsive element binding protein 2
Hykk,57,69,46,50,hydroxylysine kinase 1
AY074887,1,9,2,0,cDNA sequence AY074887
Psma4,2691,2613,3233,4037,proteasome subunit alpha 4
Chrna5,3,0,0,0,"cholinergic receptor, nicotinic, alpha polypeptide 5"
Chrna3,0,0,0,0,"cholinergic receptor, nicotinic, alpha polypeptide 3"
Chrnb4,2,0,1,0,"cholinergic receptor, nicotinic, beta polypeptide 4"
Ube2q2,827,611,1147,1269,ubiquitin-conjugating enzyme E2Q family member 2
Fbxo22,698,715,947,1090,F-box protein 22
Nrg4,14,26,20,18,neuregulin 4
Tmem266,3,1,551,2,transmembrane protein 266
Etfa,1764,1956,1923,1924,"electron transferring flavoprotein, alpha polypeptide"
Isl2,0,52,235,1,insulin related protein 2 (islet 2)
Scaper,275,306,270,222,S phase cyclin A-associated protein in the ER
Rcn2,2370,2064,1808,3712,reticulocalbin 2
Pstpip1,46,11,17,104,proline-serine-threonine phosphatase-interacting protein 1
Tspan3,2995,3107,2578,2878,tetraspanin 3
Peak1,1298,2146,5803,3301,pseudopodium-enriched atypical kinase 1
Hmg20a,910,924,850,780,high mobility group 20A
Lingo1,201,91,78,104,leucine rich repeat and Ig domain containing 1
Cimap1c,23,9,2,0,ciliary microtubule associated protein 1C
Cspg4,6195,1461,229,335,chondroitin sulfate proteoglycan 4
Snx33,375,720,560,508,sorting nexin 33
Imp3,1188,1183,1149,1046,"IMP3, U3 small nucleolar ribonucleoprotein"
Snupn,189,226,345,238,snurportin 1
Ptpn9,561,807,1431,2020,"protein tyrosine phosphatase, non-receptor type 9"
Sin3a,2263,2425,2523,2674,"transcriptional regulator, SIN3A (yeast)"
Man2c1,565,872,621,700,"mannosidase, alpha, class 2C, member 1"
Neil1,129,209,145,123,nei endonuclease VIII-like 1 (E. coli)
Commd4,496,807,691,710,COMM domain containing 4
Trcg1,1,0,1,0,taste receptor cell gene 1
1700017B05Rik,899,795,1669,1242,RIKEN cDNA 1700017B05 gene
Ppcdc,220,316,231,326,phosphopantothenoylcysteine decarboxylase
Scamp5,202,405,216,361,secretory carrier membrane protein 5
Rpp25,16,44,279,329,ribonuclease P/MRP 25 subunit
Cox5a,2126,1553,2413,2730,cytochrome c oxidase subunit 5A
Fam219b,173,271,109,180,"family with sequence similarity 219, member B"
Mpi,775,512,553,632,mannose phosphate isomerase
Scamp2,823,634,893,723,secretory carrier membrane protein 2
Ulk3,218,163,137,149,unc-51-like kinase 3
Cplx3,0,0,0,0,complexin 3
Lman1l,1,1,3,2,"lectin, mannose-binding 1 like"
Csk,1764,1480,2343,2888,c-src tyrosine kinase
Cyp1a2,0,0,2,0,"cytochrome P450, family 1, subfamily a, polypeptide 2"
Cyp1a1,7,0,88,80,"cytochrome P450, family 1, subfamily a, polypeptide 1"
Edc3,1015,1037,1011,995,enhancer of mRNA decapping 3
Clk3,681,531,970,775,CDC-like kinase 3
Arid3b,85,20,131,42,AT-rich interaction domain 3B
Ubl7,689,760,1254,724,ubiquitin-like 7 (bone marrow stromal cell-derived)
Sema7a,36,44,391,89,"sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A"
Cyp11a1,0,0,4,0,"cytochrome P450, family 11, subfamily a, polypeptide 1"
Ccdc33,7,0,0,0,coiled-coil domain containing 33
Stra6,966,21,34,52,stimulated by retinoic acid gene 6
Islr,810,502,3,22,immunoglobulin superfamily containing leucine-rich repeat
Islr2,3,3,4,11,immunoglobulin superfamily containing leucine-rich repeat 2
Pml,637,774,801,1474,promyelocytic leukemia
Stoml1,66,155,109,127,stomatin-like 1
Loxl1,321,2949,78,4101,lysyl oxidase-like 1
Tbc1d21,12,2,0,2,"TBC1 domain family, member 21"
Insyn1,359,189,46,159,inhibitory synaptic factor 1
Cd276,1314,1140,942,1468,CD276 antigen
Nptn,2842,2704,2639,4485,neuroplastin
Rec114,18,22,20,49,REC114 meiotic recombination protein
Gm20620,0,0,2,1,predicted gene 20620
Hcn4,5,0,2,6,"hyperpolarization-activated, cyclic nucleotide-gated K+ 4"
Neo1,2185,3124,3171,4393,neogenin
Adpgk,1003,1237,1394,1404,ADP-dependent glucokinase
Bbs4,112,162,98,139,Bardet-Biedl syndrome 4
Arih1,2969,2588,3246,3992,ariadne RBR E3 ubiquitin protein ligase 1
Tmem202,0,0,0,2,transmembrane protein 202
Hexa,452,429,548,728,hexosaminidase A
Celf6,0,8,0,0,"CUGBP, Elav-like family member 6"
Parp6,294,336,215,379,"poly (ADP-ribose) polymerase family, member 6"
Pkm,54106,49692,72670,86504,"pyruvate kinase, muscle"
Gramd2a,362,455,31,177,GRAM domain containing 2A
Senp8,275,296,203,215,"SUMO peptidase family member, NEDD8 specific"
Myo9a,855,1335,941,1266,myosin IXa
Nr2e3,0,0,0,0,"nuclear receptor subfamily 2, group E, member 3"
Thsd4,592,101,108,137,"thrombospondin, type I, domain containing 4"
Lrrc49,369,505,310,423,leucine rich repeat containing 49
Larp6,6,134,16,9,"La ribonucleoprotein 6, translational regulator"
Uaca,2098,2029,1518,2634,uveal autoantigen with coiled-coil domains and ankyrin repeats
Tle3,4152,1935,1949,2596,transducin-like enhancer of split 3
Rplp1,22093,23484,24282,28398,ribosomal protein lateral stalk subunit P1
Kif23,1993,1714,2897,3369,kinesin family member 23
Paqr5,1,0,3,1,progestin and adipoQ receptor family member V
Glce,885,909,904,1163,glucuronyl C5-epimerase
Spesp1,0,0,0,1,sperm equatorial segment protein 1
Anp32a,3903,3499,2741,2896,acidic nuclear phosphoprotein 32 family member A
Gm20346,17,17,2,9,"predicted gene, 20346"
Coro2b,104,116,270,23,"coronin, actin binding protein, 2B"
Itga11,130,93,2,11,integrin alpha 11
Fem1b,2626,1776,2658,2177,fem 1 homolog b
Cln6,676,786,457,583,"ceroid-lipofuscinosis, neuronal 6"
Calml4,1,5,12,17,calmodulin-like 4
Pias1,838,754,734,775,protein inhibitor of activated STAT 1
Skor1,2,1,2,0,SKI family transcriptional corepressor 1
Map2k5,438,477,453,519,mitogen-activated protein kinase kinase 5
2300009A05Rik,73,58,72,108,RIKEN cDNA 2300009A05 gene
Iqch,0,0,0,4,IQ motif containing H
Aagab,654,567,518,826,alpha- and gamma-adaptin binding protein
Smad3,3311,1450,1410,1368,SMAD family member 3
Smad6,674,1377,858,1034,SMAD family member 6
Lctl,37,13,2,1,lactase-like
Zwilch,987,1142,1290,1239,zwilch kinetochore protein
Rpl4,36338,44913,45355,44280,ribosomal protein L4
Snapc5,34,96,79,124,"small nuclear RNA activating complex, polypeptide 5"
Map2k1,1182,1394,3554,2391,mitogen-activated protein kinase kinase 1
Uchl4,10,13,9,11,ubiquitin carboxyl-terminal esterase L4
Tipin,1694,1180,1570,1903,timeless interacting protein
Dis3l,456,633,541,842,DIS3 like exosome 3'-5' exoribonuclease
Megf11,16,15,14,19,multiple EGF-like-domains 11
Rab11a,975,1128,1239,1458,"RAB11A, member RAS oncogene family"
Dennd4a,894,670,851,874,DENN domain containing 4A
Slc24a1,0,0,0,0,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 1"
Ints14,1187,1218,1364,1348,integrator complex subunit 14
Hacd3,1623,1741,2439,1428,3-hydroxyacyl-CoA dehydratase 3
Dpp8,2107,2529,2333,2669,dipeptidylpeptidase 8
Igdcc4,74,1131,33,59,"immunoglobulin superfamily, DCC subclass, member 4"
Igdcc3,80,7,0,0,"immunoglobulin superfamily, DCC subclass, member 3"
Parp16,124,255,181,225,"poly (ADP-ribose) polymerase family, member 16"
Cilp,8,524,14,26,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase"
Clpx,967,1009,1245,1158,caseinolytic mitochondrial matrix peptidase chaperone subunit
Pdcd7,273,278,322,461,programmed cell death 7
Ubap1l,9,14,15,17,ubiquitin-associated protein 1-like
Kbtbd13,7,3,1,1,kelch repeat and BTB (POZ) domain containing 13
Rasl12,30,33,2,18,"RAS-like, family 12"
Slc51b,0,0,0,0,"solute carrier family 51, beta subunit"
Mtfmt,226,250,391,273,mitochondrial methionyl-tRNA formyltransferase
Spg21,868,1014,1229,1569,"SPG21, maspardin"
Ankdd1a,6,4,0,12,ankyrin repeat and death domain containing 1A
Plekho2,415,517,1171,1594,"pleckstrin homology domain containing, family O member 2"
Pif1,505,423,590,844,PIF1 5'-to-3' DNA helicase
Gm10144,4,0,0,0,predicted pseudogene 10144
Rbpms2,40,96,97,1000,RNA binding protein with multiple splicing 2
Oaz2,1284,1278,1396,1517,ornithine decarboxylase antizyme 2
Zfp609,2058,1900,2060,2588,zinc finger protein 609
Trip4,463,678,580,484,thyroid hormone receptor interactor 4
Pclaf,1523,2277,1357,2644,PCNA clamp associated factor
Csnk1g1,553,564,891,1010,"casein kinase 1, gamma 1"
Ppib,1430,1618,1553,1917,peptidylprolyl isomerase B
Snx22,106,35,12,29,sorting nexin 22
Snx1,1206,1409,1528,1520,sorting nexin 1
Ciao2a,1112,719,982,988,cytosolic iron-sulfur assembly component 2A
Dapk2,27,1,4,0,death-associated protein kinase 2
Gm30447,2,0,0,0,"predicted gene, 30447"
Herc1,1667,1489,1755,1745,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
Fbxl22,11,12,13,21,F-box and leucine-rich repeat protein 22
Usp3,597,633,708,1040,ubiquitin specific peptidase 3
Car12,704,293,1711,760,carbonic anhydrase 12
Aph1b,68,102,103,107,"aph1 homolog B, gamma secretase subunit"
Aph1c,20,27,31,15,"aph1 homolog C, gamma secretase subunit"
Rab8b,582,770,757,1178,"RAB8B, member RAS oncogene family"
Rps27l,1951,1739,2506,2502,ribosomal protein S27-like
Lactb,518,168,400,345,"lactamase, beta"
Tpm1,24882,21633,14395,30149,"tropomyosin 1, alpha"
Tln2,1773,1570,1252,1423,talin 2
C2cd4b,0,0,0,0,C2 calcium-dependent domain containing 4B
C2cd4a,1,1,1,0,C2 calcium-dependent domain containing 4A
Vps13c,747,1372,882,1325,vacuolar protein sorting 13C
Rora,155,369,132,59,RAR-related orphan receptor alpha
Ice2,567,671,499,526,interactor of little elongation complex ELL subunit 2
Anxa2,7376,10109,12331,12403,annexin A2
Foxb1,0,0,7,0,forkhead box B1
Bnip2,1821,1856,2689,3989,BCL2/adenovirus E1B interacting protein 2
Gtf2a2,774,567,839,1052,"general transcription factor II A, 2"
Gcnt3,1,0,1,5,"glucosaminyl (N-acetyl) transferase 3, mucin type"
Fam81a,230,32,10,4,"family with sequence similarity 81, member A"
Myo1e,884,850,580,1330,myosin IE
Ccnb2,1815,2143,1580,1964,cyclin B2
Rnf111,832,782,893,1203,ring finger 111
Sltm,1872,1469,2122,3109,"SAFB-like, transcription modulator"
Mindy2,297,246,139,249,MINDY lysine 48 deubiquitinase 2
Adam10,4871,3299,3178,4188,a disintegrin and metallopeptidase domain 10
Lipc,2,1,0,1,"lipase, hepatic"
Aqp9,1,0,3,2,aquaporin 9
Aldh1a2,19,73,98,80,"aldehyde dehydrogenase family 1, subfamily A2"
Polr2m,5048,4641,5444,7671,polymerase (RNA) II (DNA directed) polypeptide M
Myzap,19,22,36,41,myocardial zonula adherens protein
Cgnl1,3623,238,4134,1198,cingulin-like 1
Tcf12,2155,4207,4251,4741,transcription factor 12
Zfp280d,688,748,677,795,zinc finger protein 280D
Mns1,224,416,237,313,meiosis-specific nuclear structural protein 1
Tex9,269,365,212,297,testis expressed gene 9
Rfx7,2058,2278,1679,1855,"regulatory factor X, 7"
Nedd4,26335,43002,33614,37429,"neural precursor cell expressed, developmentally down-regulated 4"
Prtg,285,67,21,130,protogenin
Pygo1,57,62,3,9,pygopus 1
Dnaaf4,8,27,3,3,dynein axonemal assembly factor 4
Pierce2,48,61,21,32,piercer of microtubule wall 2
Ccpg1,511,453,369,256,cell cycle progression 1
Pigb,383,349,318,432,"phosphatidylinositol glycan anchor biosynthesis, class B"
Pigbos1,83,90,55,58,Pigb opposite strand 1
Rab27a,682,30,21,55,"RAB27A, member RAS oncogene family"
Khdc3,1120,0,0,0,"KH domain containing 3, subcortical maternal complex member"
Rsl24d1,3094,1596,2772,2334,ribosomal L24 domain containing 1
Unc13c,0,0,1,8,unc-13 homolog C
Wdr72,0,0,0,0,WD repeat domain 72
Onecut1,0,0,1,0,"one cut domain, family member 1"
Atosa,318,537,172,165,atos homolog A
Arpp19,1962,1714,1690,2223,cAMP-regulated phosphoprotein 19
Myo5a,3361,4150,4729,5201,myosin VA
Myo5c,21,12,14,2,myosin VC
Gnb5,150,119,247,198,"guanine nucleotide binding protein (G protein), beta 5"
Bcl2l10,0,0,0,0,Bcl2-like 10
Mapk6,2809,2373,5327,6345,mitogen-activated protein kinase 6
Leo1,691,685,798,968,"Leo1, Paf1/RNA polymerase II complex component"
Gm7972,26,10,5,16,predicted gene 7972
Tmod3,4569,2202,2584,3364,tropomodulin 3
Tmod2,1196,736,514,436,tropomodulin 2
Lysmd2,476,291,348,322,"LysM, putative peptidoglycan-binding, domain containing 2"
Scg3,0,1,2,2,secretogranin III
Bmp5,2,2,10,4,bone morphogenetic protein 5
Gm34005,0,0,0,0,"predicted gene, 34005"
Hmgcll1,9,3,31,23,3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1
Gfral,0,0,0,0,GDNF family receptor alpha like
Hcrtr2,0,0,0,0,hypocretin (orexin) receptor 2
Fam83b,2,0,0,0,"family with sequence similarity 83, member B"
Tinag,1,0,0,0,tubulointerstitial nephritis antigen
Mlip,0,10,0,0,muscular LMNA-interacting protein
Lrrc1,593,318,361,346,leucine rich repeat containing 1
Klhl31,5,0,0,0,kelch-like 31
Gclc,1749,1558,2158,2151,"glutamate-cysteine ligase, catalytic subunit"
Elovl5,2088,2161,4030,4753,ELOVL fatty acid elongase 5
Gcm1,0,0,0,0,glial cells missing homolog 1
Fbxo9,478,625,553,556,f-box protein 9
Cilk1,586,674,446,419,ciliogenesis associated kinase 1
Gsta4,1211,62,29,236,"glutathione S-transferase, alpha 4"
Gsta1,0,7,4,2,"glutathione S-transferase, alpha 1 (Ya)"
Gsta13,0,7,6,7,glutathione S-transferase alpha 13
Gsta5,2,2,0,0,glutathione S-transferase alpha 5
Omt2a,0,0,0,0,"oocyte maturation, alpha"
Omt2b,0,0,0,0,"oocyte maturation, beta"
Gsta2,0,1,0,0,"glutathione S-transferase, alpha 2 (Yc2)"
Dppa5a,0,1,0,0,developmental pluripotency associated 5A
Ooep,3,3,0,0,oocyte expressed protein
Ddx43,3,0,2,1,DEAD box helicase 43
Cgas,75,155,78,366,cyclic GMP-AMP synthase
Mto1,504,417,497,554,mitochondrial tRNA translation optimization 1
Eef1a1,170146,238893,207014,216025,eukaryotic translation elongation factor 1 alpha 1
Slc17a5,254,339,446,255,"solute carrier family 17 (anion/sugar transporter), member 5"
Cd109,1219,2444,6239,1118,CD109 antigen
Col12a1,2511,9427,5084,5541,"collagen, type XII, alpha 1"
