X,BC07_tumor,BC08_tumor,BC09_tumor,BC10_tumor,GENENAME
Gdpd4,2,0,0,0,glycerophosphodiester phosphodiesterase domain containing 4
Myo7a,200,491,170,524,myosin VIIA
Capn5,213,186,167,101,calpain 5
Omp,124,9,4,4,olfactory marker protein
B3gnt6,3,0,0,0,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6"
Acer3,279,563,352,267,alkaline ceramidase 3
Tsku,315,1054,314,639,"tsukushi, small leucine rich proteoglycan"
Gucy2d,0,0,0,0,guanylate cyclase 2d
Lrrc32,371,16318,2450,3589,leucine rich repeat containing 32
Emsy,1103,1248,1291,1000,"EMSY, BRCA2-interacting transcriptional repressor"
Thap12,2015,3087,3574,2060,THAP domain containing 12
Wnt11,345,95,52,19,"wingless-type MMTV integration site family, member 11"
Uvrag,923,987,1035,840,UV radiation resistance associated gene
Dgat2,354,243,410,301,diacylglycerol O-acyltransferase 2
Mogat2,2,83,28,15,monoacylglycerol O-acyltransferase 2
Map6,142,2052,343,469,microtubule-associated protein 6
Serpinh1,24308,40402,32749,33262,"serine (or cysteine) peptidase inhibitor, clade H, member 1"
Gdpd5,253,402,542,295,glycerophosphodiester phosphodiesterase domain containing 5
Klhl35,19,3,3,12,kelch-like 35
Rps3,22252,15841,33019,18436,ribosomal protein S3
Arrb1,434,544,701,204,"arrestin, beta 1"
Tpbgl,1,47,1,2,trophoblast glycoprotein-like
Slco2b1,10,4,1,0,"solute carrier organic anion transporter family, member 2b1"
Or2at4,0,0,0,0,olfactory receptor family 2 subfamily AT member 4
Or2at1,0,0,0,0,olfactory receptor family 2 subfamily AT member 1
Neu3,38,78,41,18,neuraminidase 3
Spcs2,2327,2389,3747,2327,signal peptidase complex subunit 2 homolog (S. cerevisiae)
Xrra1,6,5,16,7,X-ray radiation resistance associated 1
Rnf169,479,407,573,307,ring finger protein 169
Chrdl2,5,43,10,6,chordin-like 2
Pold3,702,507,760,422,"polymerase (DNA-directed), delta 3, accessory subunit"
Lipt2,29,49,72,25,lipoyl(octanoyl) transferase 2 (putative)
Kcne3,6,54,31,0,"potassium voltage-gated channel, Isk-related subfamily, gene 3"
Pgm2l1,399,328,182,155,phosphoglucomutase 2-like 1
P4ha3,29,1660,260,247,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III"
Ppme1,882,2348,1117,1007,protein phosphatase methylesterase 1
C2cd3,829,587,845,523,C2 calcium-dependent domain containing 3
Ucp3,0,0,0,0,"uncoupling protein 3 (mitochondrial, proton carrier)"
Ucp2,3694,1832,8145,1639,"uncoupling protein 2 (mitochondrial, proton carrier)"
Dnajb13,7,2,9,5,DnaJ heat shock protein family (Hsp40) member B13
Coa4,95,102,141,74,cytochrome c oxidase assembly factor 4
Mrpl48,566,397,570,358,mitochondrial ribosomal protein L48
Rab6a,1657,2862,2443,2228,"RAB6A, member RAS oncogene family"
Plekhb1,16,17,330,0,"pleckstrin homology domain containing, family B (evectins) member 1"
Fam168a,974,1778,1289,1340,"family with sequence similarity 168, member A"
Relt,143,268,215,200,RELT tumor necrosis factor receptor
Arhgef17,2310,5352,2590,3721,Rho guanine nucleotide exchange factor 17
P2ry6,8,48,18,17,"pyrimidinergic receptor P2Y, G-protein coupled, 6"
P2ry2,22,340,70,101,"purinergic receptor P2Y, G-protein coupled 2"
Fchsd2,307,492,436,337,FCH and double SH3 domains 2
Atg16l2,301,320,819,277,autophagy related 16 like 2
Stard10,99,161,487,121,StAR related lipid transfer domain containing 10
Arap1,1274,1213,2179,1950,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
Pde2a,28,725,315,821,"phosphodiesterase 2A, cGMP-stimulated"
Art2a,0,1,0,0,ADP-ribosyltransferase 2a
Art2b,0,0,0,0,ADP-ribosyltransferase 2b
Clpb,1398,977,1749,966,ClpB caseinolytic peptidase B
Phox2a,1,5,5,1,paired-like homeobox 2a
Inppl1,2914,5896,4310,4402,inositol polyphosphate phosphatase-like 1
Folr2,7,5,6,8,folate receptor beta
Folr1,6,101,25,14,folate receptor alpha
Anapc15,550,522,387,424,anaphase promoting complex C subunit 15
Tomt,4,3,2,0,transmembrane O-methyltransferase
Lamtor1,1370,1662,1310,1198,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1"
Lrrc51,118,37,85,49,leucine rich repeat containing 51
Numa1,4521,3148,3261,2788,nuclear mitotic apparatus protein 1
Il18bp,121,38,34,45,interleukin 18 binding protein
Rnf121,255,344,335,259,ring finger protein 121
Xntrpc,0,0,2,0,"Xndc1-transient receptor potential cation channel, subfamily C, member 2 readthrough"
Xndc1,229,88,142,79,Xrcc1 N-terminal domain containing 1
Trpc2,0,0,0,0,"transient receptor potential cation channel, subfamily C, member 2"
Art5,0,0,7,2,ADP-ribosyltransferase 5
Art1,4,3,1,0,ADP-ribosyltransferase 1
Chrna10,0,0,0,0,"cholinergic receptor, nicotinic, alpha polypeptide 10"
Nup98,2095,2877,2289,1969,nucleoporin 98
Pgap2,736,376,638,396,post-GPI attachment to proteins 2
Rhog,439,1060,690,621,ras homolog family member G
Stim1,951,1465,910,557,stromal interaction molecule 1
Rrm1,4666,6628,4229,4898,ribonucleotide reductase M1
Or55b3,0,0,0,0,olfactory receptor family 55 subfamily B member 3
Or55b4,0,0,0,0,olfactory receptor family 55 subfamily B member 4
Or55b10,0,0,0,0,olfactory receptor family 55 subfamily B member 10
Or52b4,0,0,0,0,olfactory receptor family 52 subfamily B member 4
Or52b3,0,0,0,0,olfactory receptor family 52 subfamily B member 3
Trim21,206,41,28,44,tripartite motif-containing 21
Or51r1,0,0,0,0,olfactory receptor family 51 subfamily R member 1
Or52p2,0,0,0,0,olfactory receptor family 52 subfamily P member 2
Or52k2,0,0,0,0,olfactory receptor family 52 subfamily K member 2
Or52m2,0,0,0,0,olfactory receptor family 52 subfamily M member 2
Or52m1,0,0,0,0,olfactory receptor family 52 subfamily M member 1
Or51h1,0,0,0,0,olfactory receptor family 51 subfamily H member 1
Or52i2,0,0,0,0,olfactory receptor family 52 subfamily J member 2
Trim68,138,149,221,76,tripartite motif-containing 68
Or51d1,0,0,0,0,olfactory receptor family 51 subfamily D member 1
Or51e1,0,3,0,0,olfactory receptor family 51 subfamily E member 1
Or51a39,0,0,0,0,olfactory receptor family 51 subfamily A member 39
Or51a25,0,0,0,0,olfactory receptor family 51 subfamily A member 25
Or51e2,0,44,33,31,olfactory receptor family 51 subfamily E member 2
Or51f23b,0,0,0,0,olfactory receptor family 51 subfamily F member 23B
Or51f5,0,0,0,0,olfactory receptor family 51 subfamily F member 5
Or51f23,0,0,0,0,olfactory receptor family 51 subfamily F member 23
Or51f1,0,0,0,0,olfactory receptor family 51 subfamily F member 1
Or51f2,0,0,0,0,olfactory receptor family 51 subfamily F member 2
Or52r1,0,0,0,0,olfactory receptor family 52 subfamily R member 1
Or51a8,0,0,0,0,olfactory receptor family 51 subfamily A member 8
Or51s1,0,0,0,0,olfactory receptor family 51 subfamily S member 1
Or51h5,0,0,0,0,olfactory receptor family 51 subfamily H member 5
Or51t4,0,0,0,0,olfactory receptor family 51 subfamily T member 4
Or51a6,0,0,0,0,olfactory receptor family 51 subfamily A member 6
Or51a7,0,0,0,0,olfactory receptor family 51 subfamily A member 7
Or51g2,0,0,0,0,olfactory receptor family 51 subfamily G member 2
Or51g1,0,0,0,0,olfactory receptor family 51 subfamily G member 1
Or52r1b,0,0,0,0,olfactory receptor family 52 subfamily R member 1B
Or51f1d,0,0,0,0,olfactory receptor family 51 subfamily F member 1D
Or52r1c,0,0,0,0,olfactory receptor family 52 subfamily R member 1C
Or51f1e,0,0,0,0,olfactory receptor family 51 subfamily F member 1E
Or51a5,0,0,0,0,olfactory receptor family 51 subfamily A member 5
Or52e2,0,0,0,0,olfactory receptor family 52 subfamily E member 2
Or52s1b,0,0,0,0,olfactory receptor family 52 subfamily S member 1B
Or52j3,0,0,0,0,olfactory receptor family 52 subfamily J member 3
Or52s1,0,0,0,0,olfactory receptor family 52 subfamily S member 1
Or52e3,0,0,0,0,olfactory receptor family 52 subfamily E member 3
Usp17ld,0,0,0,0,ubiquitin specific peptidase 17-like D
Or52e19,0,0,0,0,olfactory receptor family 52 subfamily E member 19
Or52ab2,0,0,0,0,olfactory receptor family 52 subfamily AB member 2
Or52ab7,0,0,0,0,olfactory receptor family 52 subfamily AB member 7
Or52ab4,0,0,0,0,olfactory receptor family 52 subfamily AB member 4
Or52ad1,0,0,0,0,olfactory receptor family 52 subfamily AD member 1
Or52s19,0,0,0,0,olfactory receptor family 52 subfamily S member 19
Or52e19b,0,0,0,0,olfactory receptor family 52 subfamily E member 19B
Usp17lc,0,0,0,0,ubiquitin specific peptidase 17-like C
Or52s6,0,0,0,0,olfactory receptor family 52 subfamily S member 6
Or51l14,0,0,0,0,olfactory receptor family 51 subfamily L member 14
Or52d13,0,0,0,0,olfactory receptor family 52 subfamily D member 13
Or52ae7,0,0,0,0,olfactory receptor family 52 subfamily AE member 7
Or51af1,0,0,0,0,olfactory receptor family 51 subfamily AF member 1
Or51ag1,0,0,0,0,olfactory receptor family 51 subfamily AG member 1
Or51aa5,0,0,0,0,olfactory receptor family 51 subfamily AA member 5
Or51aa2,0,0,0,0,olfactory receptor family 51 subfamily AA member 2
Or51ab3,0,0,0,0,olfactory receptor family 51 subfamily AB member 3
Or51ah3,0,0,0,0,olfactory receptor family 51 subfamily AH member 3
Or51ac3,0,0,0,0,olfactory receptor family 51 subfamily AC member 3
Or52z12,0,0,0,0,olfactory receptor family 52 subfamily Z member 12
Or52z13,0,0,0,0,olfactory receptor family 52 subfamily Z member 13
Or52z14,0,0,0,0,olfactory receptor family 52 subfamily Z member 14
Or51v14,0,0,0,0,olfactory receptor family 51 subfamily V member 14
Or52a33,0,0,0,0,olfactory receptor family 52 subfamily A member 33
Or51b6b,0,0,0,0,olfactory receptor family 51 subfamily B member 6B
Or51v8,0,0,0,0,olfactory receptor family 51 subfamily V member 8
Or52a20,0,0,0,0,olfactory receptor family 52 subfamily A member 20
Or52a24,0,0,0,0,olfactory receptor family 52 subfamily A member 24
Or52ae9,0,0,0,0,olfactory receptor family 52 subfamily AE member 9
Or51l4,0,0,0,0,olfactory receptor family 51 subfamily L member 4
Or52a5b,0,0,0,0,olfactory receptor family 52 subfamily A member 5B
Or52a5,0,0,0,0,olfactory receptor family 52 subfamily A member 5
Or52z1,0,0,0,0,olfactory receptor family 52 subfamily Z member 1
Hbb-bt,0,0,0,0,"hemoglobin, beta adult t chain"
Hbb-bs,0,0,0,0,"hemoglobin, beta adult s chain"
Hbb-bh2,0,0,0,0,"hemoglobin beta, bh2"
Hbb-bh1,0,1,0,0,"hemoglobin Z, beta-like embryonic chain"
Hbb-y,0,0,0,0,"hemoglobin Y, beta-like embryonic chain"
Or51b4,0,0,0,0,olfactory receptor family 51 subfamily B member 4
Or51b17,0,0,0,0,olfactory receptor family 51 subfamily B member 17
Or51b6,0,0,0,0,olfactory receptor family 51 subfamily B member 6
Or51m1,0,0,0,0,olfactory receptor family 51 subfamily M member 1
Or51ai2,0,0,0,0,olfactory receptor family 51 subfamily AI member 2
Or51k2,0,0,0,0,olfactory receptor family 51 subfamily K member 2
Or51q1,0,0,0,0,olfactory receptor family 51 subfamily Q member 1
Or51q1c,0,0,0,0,olfactory receptor family 51 subfamily Q member 1C
Or51k1,0,0,0,0,olfactory receptor family 51 subfamily K member 1
Or51i1,0,0,0,0,olfactory receptor family 51 subfamily I member 1D
Or51i2,0,0,0,0,olfactory receptor family 51 subfamily I member 2
Or51a10,0,0,0,0,olfactory receptor family 51 subfamily A member 10
Or51a42,0,0,0,0,olfactory receptor family 51 subfamily A member 42
Or51a43,0,0,0,0,olfactory receptor family 51 subfamily A member 43
Or51a24,0,0,0,0,olfactory receptor family 51 subfamily A member 24
Or52d1,0,0,0,0,olfactory receptor family 52 subfamily D member 1
Ubqln5,0,0,0,0,ubiquilin 5
Ubqln3,0,0,0,0,ubiquilin 3
Ubqlnl,0,0,0,0,ubiquilin-like
Olfm5,0,0,0,0,olfactomedin 5
Or52h1,0,0,0,0,olfactory receptor family 52 subfamily H member 1
Or52h2,0,0,0,0,olfactory receptor family 52 subfamily H member 2
Trim6,58,16,20,17,tripartite motif-containing 6
Trim34a,65,16,21,8,tripartite motif-containing 34A
Trim5,22,0,1,0,tripartite motif-containing 5
Trim12a,29,1,0,1,tripartite motif-containing 12A
Trim34b,49,17,14,27,tripartite motif-containing 34B
Trim12c,160,95,73,75,tripartite motif-containing 12C
Gm38525,0,0,1,0,"predicted gene, 38525"
Trim30b,0,0,0,0,tripartite motif-containing 30B
Trim30c,0,0,0,0,tripartite motif-containing 30C
Trim30a,192,33,73,40,tripartite motif-containing 30A
Trim30d,22,0,5,0,tripartite motif-containing 30D
Or52h9,0,0,0,0,olfactory receptor family 52 subfamily H member 9
Or52h7,0,0,0,0,olfactory receptor family 52 subfamily H member 7
Or52d3,0,0,0,0,olfactory receptor family 52 subfamily D member 3
Or52u1,0,0,0,0,olfactory receptor family 52 subfamily U member 1
Or52ac1,0,0,0,0,olfactory receptor family 52 subfamily AC member 1
Or52p1,0,0,0,0,olfactory receptor family 52 subfamily P member 1
Or56b1,0,0,0,0,olfactory receptor family 56 subfamily B member 1
Or52n4,0,0,0,0,olfactory receptor family 52 subfamily N member 4
Or52n20,0,0,0,0,olfactory receptor family 52 subfamily N member 20
Or56b2,0,0,0,0,olfactory receptor family 56 subfamily B member 2
Or56b2j,0,0,0,0,olfactory receptor family 56 subfamily B member 2J
Usp17le,3,0,0,0,ubiquitin specific peptidase 17-like E
Usp17lb,0,0,0,2,ubiquitin specific peptidase 17-like B
Usp17la,0,0,0,3,ubiquitin specific peptidase 17-like A
Or52n3,0,0,0,0,olfactory receptor family 52 subfamily N member 3
Or52n2,0,0,0,0,olfactory receptor family 52 subfamily N member 2
Or52n2b,0,0,0,0,olfactory receptor family 52 subfamily N member 2B
Or52n2c,0,0,0,0,olfactory receptor family 52 subfamily N member 2C
Or52n5,0,0,0,0,olfactory receptor family 52 subfamily N member 5
Or52e18,0,0,0,0,olfactory receptor family 52 subfamily E member 18
Or52e8,0,0,0,0,olfactory receptor family 52 subfamily E member 8
Or52e15,0,0,0,0,olfactory receptor family 52 subfamily E member 15
Or52e8b,0,0,0,0,olfactory receptor family 52 subfamily E member 8B
Or52e7,0,0,0,0,olfactory receptor family 52 subfamily E member 7
Or52e4,0,0,0,0,olfactory receptor family 52 subfamily E member 4
Or52e5,0,0,0,0,olfactory receptor family 52 subfamily E member 5
Or56a3,0,0,0,0,olfactory receptor family 56 subfamily A member 3
Or56a3b,0,0,0,0,olfactory receptor family 56 subfamily A member 3B
Or56a5,0,0,0,0,olfactory receptor family 56 subfamily A member 5
Or56a4,0,0,0,0,olfactory receptor family 56 subfamily A member 4
Or52l1,0,0,0,0,olfactory receptor family 52 subfamily L member 1
Or52x1,0,0,0,0,olfactory receptor family 52 subfamily X member 1
Or56b6,0,0,0,0,olfactory receptor family 56 subfamily B member 6
Or56b34,0,0,0,0,olfactory receptor family 56 subfamily B member 34
Or56b35,0,0,0,0,olfactory receptor family 56 subfamily B member 35
Or52b1,0,0,0,0,olfactory receptor family 52 subfamily B member 1
Or52b2,0,0,0,0,olfactory receptor family 52 subfamily B member 2
Or52w1,0,0,0,0,olfactory receptor family 52 subfamily W member 1
Fhip1b,486,588,607,422,FHF complex subunit HOOK interacting protein 1B
Gm5901,0,0,0,0,predicted gene 5901
Cnga4,0,1,0,1,cyclic nucleotide gated channel alpha 4
Gm4972,2,6,2,4,predicted gene 4972
Cckbr,0,0,0,0,cholecystokinin B receptor
Cavin3,572,1778,1222,1006,caveolae associated 3
Smpd1,1197,1110,632,586,"sphingomyelin phosphodiesterase 1, acid lysosomal"
Apbb1,365,365,305,415,amyloid beta precursor protein binding family B member 1
Hpx,7,9,5,9,hemopexin
Trim3,742,1233,607,676,tripartite motif-containing 3
Arfip2,1567,986,1413,1115,ARF interacting protein 2
Timm10b,561,628,678,422,translocase of inner mitochondrial membrane 10B
Dnhd1,85,54,107,48,dynein heavy chain domain 1
Rrp8,1184,1278,1337,1123,ribosomal RNA processing 8
Ilk,3436,6708,3635,3780,integrin linked kinase
Taf10,1227,1196,1522,946,TATA-box binding protein associated factor 10
Tpp1,1666,2372,2465,1959,tripeptidyl peptidase I
Dchs1,221,396,523,319,dachsous cadherin related 1
Mrpl17,1844,1510,1705,1294,mitochondrial ribosomal protein L17
Gvin-ps1,17,64,44,22,"GTPase, very large interferon inducible, pseudogene 1"
Gvin2,282,1712,653,371,"GTPase, very large interferon inducible, family member 2"
Gvin1,285,1582,576,353,"GTPase, very large interferon inducible 1"
Gm8995,23,27,4,8,predicted gene 8995
Gvin3,0,0,0,0,"GTPase, very large interferon inducible, family member 3"
Or2ag12,0,0,0,0,olfactory receptor family 2 subfamily AG member 12
Or2ag1b,0,0,0,0,olfactory receptor family 2 subfamily AG member 1B
Or2ag13,0,0,0,0,olfactory receptor family 2 subfamily AG member 13
Or2ag15,0,0,0,0,olfactory receptor family 2 subfamily AG member 15
Or2ag16,0,0,0,0,olfactory receptor family 2 subfamily AG member 16
Or2ag17,0,0,0,0,olfactory receptor family 2 subfamily AG member 17
Or2ag18,0,0,0,0,olfactory receptor family 2 subfamily AG member 18
Or2ag2b,0,0,0,0,olfactory receptor family 2 subfamily AG member 2B
Or13n4,0,0,0,0,olfactory receptor family 13 subfamily N member 4
Or2ag19,0,0,0,0,olfactory receptor family 2 subfamily AG member 19
Or2ag20,0,0,0,0,olfactory receptor family 2 subfamily AG member 20
Or2ag1,0,0,0,0,olfactory receptor family 2 subfamily AG member 1
Or2ag2,0,0,0,0,olfactory receptor family 2 subfamily AG member 2
Or2d3,0,0,0,0,olfactory receptor family 2 subfamily D member 3
Or2d3b,0,0,0,0,olfactory receptor family 2 subfamily D member 3B
Or2d4,0,0,0,0,olfactory receptor family 2 subfamily D member 4
Or6b9,0,0,0,0,olfactory receptor family 6 subfamily B member 9
Or6b6,0,0,0,0,olfactory receptor family 6 subfamily B member 6
Or6a2,0,0,0,0,olfactory receptor family 6 subfamily A member 2
Or10a5,0,0,0,0,olfactory receptor family 10 subfamily A member 5
Or10a2,0,0,0,0,olfactory receptor family 10 subfamily A member 2
Or10a4,0,0,0,0,olfactory receptor family 10 subfamily A member 4
Or2d2b,0,0,0,0,olfactory receptor family 2 subfamily D member 2B
Nlrp14,0,0,0,0,"NLR family, pyrin domain containing 14"
Or2d2,0,0,0,0,olfactory receptor family 2 subfamily D member 2
Or2d36,0,0,0,0,olfactory receptor family 2 subfamily D member 36
Rbmxl2,0,0,0,0,"RNA binding motif protein, X-linked-like 2"
Syt9,3,4,88,0,synaptotagmin IX
Olfml1,20,3,6,3,olfactomedin-like 1
Ppfibp2,379,53,180,37,"PTPRF interacting protein, binding protein 2 (liprin beta 2)"
Cyb5r2,26,7,29,3,cytochrome b5 reductase 2
Ovch2,0,0,0,0,ovochymase 2
Or5p5,0,0,0,0,olfactory receptor family 5 subfamily P member 5
Or5p50,0,0,0,0,olfactory receptor family 5 subfamily P member 50
Or5p51,0,0,0,0,olfactory receptor family 5 subfamily P member 51
Or5p52,0,0,0,0,olfactory receptor family 5 subfamily P member 52
Or5p53,0,0,0,0,olfactory receptor family 5 subfamily P member 53
Or5p54,0,0,0,0,olfactory receptor family 5 subfamily P member 54
Or5p55,0,0,0,0,olfactory receptor family 5 subfamily P member 55
Or5p56,0,0,0,0,olfactory receptor family 5 subfamily P member 56
Or5p6,0,0,0,0,olfactory receptor family 5 subfamily P member 6
Or10ab4,0,0,0,0,olfactory receptor family 10 subfamily AB member 4
Or5p57,0,0,0,0,olfactory receptor family 5 subfamily P member 57
Or5p4,0,0,0,0,olfactory receptor family 5 subfamily P member 4
Gm4199,12,7,8,2,predicted gene 4199
Or5p58,0,0,0,0,olfactory receptor family 5 subfamily P member 58
Or5p59,0,0,0,0,olfactory receptor family 5 subfamily P member 59
Or5p60,0,0,0,0,olfactory receptor family 5 subfamily P member 60
Or5p61,0,0,0,0,olfactory receptor family 5 subfamily P member 61
Or5p62,0,0,0,0,olfactory receptor family 5 subfamily P member 62
Or5p63,0,0,0,0,olfactory receptor family 5 subfamily P member 63
Or5p64,0,0,0,0,olfactory receptor family 5 subfamily P member 64
Or5p66,0,0,0,0,olfactory receptor family 5 subfamily P member 66
Or5p1,0,0,0,0,olfactory receptor family 5 subfamily P member 1
Or5p67,0,0,0,0,olfactory receptor family 5 subfamily P member 67
Or5p68,0,0,0,0,olfactory receptor family 5 subfamily P member 68
Or5p69,0,0,0,0,olfactory receptor family 5 subfamily P member 69
Or5p70,0,0,0,0,olfactory receptor family 5 subfamily P member 70
Or5p72,0,0,0,0,olfactory receptor family 5 subfamily P member 72
Gm44611,0,0,0,0,predicted gene 44611
Or5p73,0,0,0,0,olfactory receptor family 5 subfamily P member 73
Or5p76,0,0,0,0,olfactory receptor family 5 subfamily P member 76
Or52n4b,0,0,0,0,olfactory receptor family 52 subfamily N member 4B
Or56b1b,0,0,0,0,olfactory receptor family 56 subfamily B member 1B
Or5p78,0,0,0,0,olfactory receptor family 5 subfamily P member 78
Or5p79,0,0,0,0,olfactory receptor family 5 subfamily P member 79
Or5p80,0,0,0,0,olfactory receptor family 5 subfamily P member 80
Or10ab5,0,0,0,0,olfactory receptor family 10 subfamily AB member 5
Or5p81,0,0,0,0,olfactory receptor family 5 subfamily P member 81
Or10a3m,0,0,0,0,olfactory receptor family 10 subfamily A member 3M
Or5e1,0,0,0,0,olfactory receptor family 5 subfamily E member 1
Or10a48,0,0,0,0,olfactory receptor family 10 subfamily A member 48
Or10a3b,0,0,0,0,olfactory receptor family 10 subfamily A member 3B
Or10a49,0,0,0,0,olfactory receptor family 10 subfamily A member 49
Or10a3,0,0,0,0,olfactory receptor family 10 subfamily A member 3
Or10a3n,0,0,0,0,olfactory receptor family 10 subfamily A member 3N
Nlrp10,6,10,6,1,"NLR family, pyrin domain containing 10"
Eif3f,4417,3794,6085,3665,"eukaryotic translation initiation factor 3, subunit F"
Tub,2,71,44,3,TUB bipartite transcription factor
Ric3,71,44,12,3,RIC3 acetylcholine receptor chaperone
Lmo1,37,11,22,2,LIM domain only 1
Stk33,0,2,1,5,serine/threonine kinase 33
Trim66,16,22,59,96,tripartite motif-containing 66
Rpl27a,12721,8843,17139,10491,ribosomal protein L27A
Dennd2b,1416,1798,1036,1877,DENN domain containing 2B
Akip1,316,292,292,249,A kinase interacting protein 1
BC051019,1,0,2,3,cDNA sequence BC051019
Ascl3,0,2,0,0,achaete-scute family bHLH transcription factor 3
Tmem9b,329,765,587,378,"TMEM9 domain family, member B"
Nrip3,1,7,4,3,nuclear receptor interacting protein 3
Scube2,0,9,0,0,"signal peptide, CUB domain, EGF-like 2"
Dennd5a,2283,3258,4192,2719,DENN domain containing 5A
Tmem41b,741,908,905,877,transmembrane protein 41B
Ipo7,5876,5853,7681,4926,importin 7
Zfp143,322,294,483,380,zinc finger protein 143
Wee1,621,763,570,531,WEE 1 homolog 1 (S. pombe)
Swap70,612,1752,1486,2012,SWA-70 protein
Sbf2,706,1592,1796,1160,SET binding factor 2
Adm,72,1977,791,604,adrenomedullin
Ampd3,173,1589,357,205,adenosine monophosphate deaminase 3
Rnf141,361,848,719,403,ring finger protein 141
Lyve1,0,104,14,28,lymphatic vessel endothelial hyaluronan receptor 1
Irag1,46,2376,1070,320,"inositol 1,4,5-triphosphate receptor associated 1"
Ctr9,1725,3512,12179,1241,"CTR9 homolog, Paf1/RNA polymerase II complex component"
Eif4g2,17839,29243,27901,21917,"eukaryotic translation initiation factor 4, gamma 2"
Galnt18,33,4023,407,545,polypeptide N-acetylgalactosaminyltransferase 18
Usp47,2326,4425,3212,3787,ubiquitin specific peptidase 47
Dkk3,2236,2515,1498,1220,dickkopf WNT signaling pathway inhibitor 3
Mical2,2504,8361,2172,3070,"microtubule associated monooxygenase, calponin and LIM domain containing 2"
Parva,2160,7184,2995,5066,"parvin, alpha"
Tead1,2389,10692,4743,5537,TEA domain family member 1
Rassf10,3,8,6,1,Ras association (RalGDS/AF-6) domain family (N-terminal) member 10
Bmal1,189,222,345,246,basic helix-loop-helix ARNT like 1
Btbd10,305,559,470,389,BTB domain containing 10
Pth,0,0,0,0,parathyroid hormone
Far1,1262,1993,1230,1380,fatty acyl CoA reductase 1
Gm33828,0,0,0,0,"predicted gene, 33828"
Spon1,219,1139,3384,115,"spondin 1, (f-spondin) extracellular matrix protein"
Rras2,770,2879,1613,1006,related RAS viral (r-ras) oncogene 2
Copb1,3352,3946,3908,3572,"coatomer protein complex, subunit beta 1"
Psma1,3333,2084,2522,1952,proteasome subunit alpha 1
Pde3b,435,969,1109,1012,"phosphodiesterase 3B, cGMP-inhibited"
Cyp2r1,28,30,9,15,"cytochrome P450, family 2, subfamily r, polypeptide 1"
Calca,6,2,0,0,"calcitonin/calcitonin-related polypeptide, alpha"
Calcb,1,0,9,3,"calcitonin-related polypeptide, beta"
Insc,106,27,950,29,INSC spindle orientation adaptor protein
Sox6,50,18,463,5,SRY (sex determining region Y)-box 6
1110004F10Rik,2540,2059,2372,1683,RIKEN cDNA 1110004F10 gene
Plekha7,220,115,186,113,"pleckstrin homology domain containing, family A member 7"
Rps13,6820,5344,9697,5962,ribosomal protein S13
Pik3c2a,1046,2425,1367,1559,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
Gm40453,5,2,18,1,"predicted gene, 40453"
Gm32676,0,0,0,0,"predicted gene, 32676"
Nucb2,248,648,409,470,nucleobindin 2
Xylt1,150,109,211,81,xylosyltransferase 1
Rps15a,5673,5147,9147,5433,ribosomal protein S15A
Arl6ip1,2754,3832,3306,3110,ADP-ribosylation factor-like 6 interacting protein 1
Smg1,3130,2900,3300,2272,SMG1 nonsense mediated mRNA decay associated PI3K related kinase
Gm35083,0,0,0,2,"predicted gene, 35083"
Syt17,22,47,24,60,synaptotagmin XVII
Itpripl2,1278,5856,2522,2973,"inositol 1,4,5-triphosphate receptor interacting protein-like 2"
Coq7,472,346,377,330,demethyl-Q 7
Tmc7,30,86,34,30,transmembrane channel-like gene family 7
Tmc5,0,0,0,0,transmembrane channel-like gene family 5
Gde1,712,1075,1065,733,glycerophosphodiester phosphodiesterase 1
Ccp110,717,436,756,489,centriolar coiled coil protein 110
Vps35l,987,1478,1147,1217,VPS35 endosomal protein sorting factor like
Knop1,2167,1684,2186,1294,lysine rich nucleolar protein 1
Iqck,9,20,13,7,IQ motif containing K
Gprc5b,1516,868,578,514,"G protein-coupled receptor, family C, group 5, member B"
Gpr139,0,0,0,0,G protein-coupled receptor 139
Gp2,0,0,0,0,glycoprotein 2 zymogen granule membrane
Umod,0,0,0,0,uromodulin
Pdilt,0,0,0,0,"protein disulfide isomerase-like, testis expressed"
Acsm5,0,0,0,1,acyl-CoA synthetase medium-chain family member 5
Acsm2,0,0,0,0,acyl-CoA synthetase medium-chain family member 2
Acsm1,0,0,1,0,acyl-CoA synthetase medium-chain family member 1
Acsm4,0,0,0,0,acyl-CoA synthetase medium-chain family member 4
Thumpd1,1288,1166,1371,1042,THUMP domain containing 1
Ppp1ccb,2346,1442,3380,2053,protein phosphatase 1 catalytic subunit gamma B
Acsm3,20,17,12,9,acyl-CoA synthetase medium-chain family member 3
Eri2,377,354,400,254,exoribonuclease 2
Rexo5,145,116,127,63,RNA exonuclease 5
Dcun1d3,206,400,380,241,defective in cullin neddylation 1 domain containing 3
Lyrm1,46,42,33,26,LYR motif containing 1
Dnah3,2,5,0,0,"dynein, axonemal, heavy chain 3"
Ldaf1,147,299,355,210,lipid droplet assembly factor 1
Zp2,0,0,0,0,zona pellucida glycoprotein 2
